feature,mean_importance
Old/New_Y,-1.1102230246251566e-17
Duration_L,0.0
District,0.0
County,0.0
Duration_F,2.2204460492503132e-17
Property Type_T,2.2204460492503132e-17
Year,5.540045522856029e-06
Property Type_S,0.00022205965503837576
Old/New_N,0.0004182827428818259
PPDCategory Type_A,0.0008822232125460072
Property Type_F,0.0017097165484279198
Postcode,0.002422928968900162
Month,0.0046831128020620285
PPDCategory Type_B,0.009825769773115545
Add3,0.017822975445385136
Property Type_O,0.05052335156856147
Property Type_D,0.14400294686062176
Add2,0.7384709306948755
